Conditions: 
- Room temp: 25.5
- Room humidity: 24%
- Medido despues de un splitter de 50%

I laser (mA),Laser power a 20ºC (dBm) (*),Laser power a 25ºC (dBm) (*),Laser power a 30ºC (dBm) (*),Laser power a 20ºC (mW) (*),Laser power a 25ºC (mW) (*),Laser power a 30ºC (mW) (*)
0,X,X,X,0,0,0
5,X,X,X,0,0,0
6,X,X,X,0,0,0
7.7,-26.11,-42.7,X,0.002449063242,0.00005370317964,0
7.8,-24.76,-40.37,X,0.0033419504,0.00009183325965,0
7.9,-23.75,-38.91,X,0.004216965034,0.000128528666,0
8,-22.94,-37.8,X,0.005081594426,0.0001659586907,0
8.5,-19.97,-26.45,-39.39,0.01006931669,0.002264644308,0.0001150800389
9,-18.06,-22.3,-33.9,0.01563147643,0.005888436554,0.0004073802778
9.5,-16.78,-19.97,-25.87,0.02098939884,0.01006931669,0.002588212915
10,-15.74,-18.38,-22.65,0.02666858665,0.01452111618,0.005432503315
11,-13.99,-16.11,-19.15,0.03990249024,0.02449063242,0.01216186001
12,-12.76,-14.54,-16.93,0.05296634439,0.03515604405,0.0202768272
15,-10.18,-11.44,-13.23,0.09594006315,0.07177942913,0.04753352259
18,-8.57,-9.64,-11.11,0.1389952631,0.1086425624,0.07744617978
22,-7,-7.91,-9.19,0.1995262315,0.1618080038,0.120503594
26,-5.84,-6.67,-7.77,0.260615355,0.2152781735,0.1671090614
30,-4.92,-5.74,-6.79,0.3221068791,0.2666858665,0.2094112456
35,-3.87,-4.66,-5.67,0.410204103,0.3419794425,0.2710191632
40,-3.15,-3.8,-4.78,0.4841723676,0.4168693835,0.3326595533
50,-1.9,-2.54,-3.41,0.645654229,0.5571857489,0.456036916
60,-0.84,-1.53,-2.32,0.824138115,0.7030723199,0.5861381645
70,-0.01,-0.71,-1.52,0.9977000638,0.849180475,0.704693069
80,0.64,-0.01,-0.81,1.158777356,0.9977000638,0.8298507675
