ext_laser_I_mA,ring_laser_power_dBm,ext_laser_power_dBm,ext_laser_polarization_power_loss_dBm
10.0,-16.108935669964776,-36.65012191154253,-27.4
25.555555555555557,-16.41442856553973,-29.067300551147355,-25.4
41.111111111111114,-16.3187013431888,-26.79594365061501,-30.9
56.666666666666664,-16.522872265002743,-25.365807865453974,-30.7
72.22222222222223,-16.696031913209872,-24.342737543721466,-23.7
87.77777777777777,-16.532831584621693,-24.338351478135483,-28.1
103.33333333333333,-16.625140457191527,-24.549162251723526,-28.7
118.88888888888889,-16.452292468039058,-24.611184703140893,-24.8
134.44444444444446,-16.542051246046526,-24.715249396301807,-22.2
150.0,-16.487933223208568,-24.708553170115465,-22.8
