ext_laser_I_mA,ring_laser_power_dBm,ext_laser_power_dBm,ext_laser_polarization_power_loss_dBm
10.0,-21.658936528160776,-39.01255680873823,-30
25.555555555555557,-22.39227740295812,-29.47706302987099,-29.0
41.111111111111114,-23.544759786032422,-26.39173442274273,-29.0
56.666666666666664,-24.227238177150245,-24.935755503097038,-23
72.22222222222223,-25.78777442795932,-23.509416981637745,-21
87.77777777777777,-27.643945183742012,-22.489183404577812,-30
103.33333333333333,-31.26346632100113,-21.829964887079182,-24
118.88888888888889,-45.98579383806883,-21.08701441779083,-22
134.44444444444446,-50.49191003745496,-20.989234556528604,-25
150.0,-52.22125991819516,-20.939449563383818,-25
