ext_laser_I_mA,ring_laser_power_dBm,ext_laser_power_dBm,ext_laser_polarization_power_loss_dBm
10.0,-23.46239202821163,-36.61473682863871,-26.5
25.555555555555557,-25.526653727163804,-26.684808228809626,-27
41.111111111111114,-29.513595075735516,-23.689516366372878,-27.8
56.666666666666664,-47.41120655812129,-22.468580035570064,-26.6
72.22222222222223,-51.72263310678366,-21.884141186753748,-23.5
87.77777777777777,-53.12554395592826,-21.510538208969407,-10
103.33333333333333,-54.0851066034545,-21.12889349371021,-15
118.88888888888889,-55.04807975783543,-20.937455417335983,-20
134.44444444444446,-55.4517834305663,-20.72437814951546,-18.5
150.0,-55.42639061073114,-20.553302332166858,-25.3
